"date","daily_rain","daily_WL","daily_turbidity","water_temp","lux"
2013-04-18,0,0.3683125,19.0739583333333,13.356281374,8673.92324074074
2013-04-19,6.6,0.3539375,19.2354166666667,13.606929802,19303.4754166667
2013-04-20,0,0.2865625,14.8739583333333,14.943721418,17761.5069675926
2013-04-21,0,0.256854166666667,13.7895833333333,17.366656222,20093.9662268519
2013-04-22,0.6,0.2475625,14.396875,15.52856775,9309.32719907407
2013-04-23,1.8,0.354145833333333,19.89375,15.779216178,16982.9648148148
2013-04-24,0,0.289770833333333,15.7354166666667,16.865359366,13862.9856712963
2013-04-25,2.2,0.334354166666667,15.8510416666667,17.450205698,18431.6781018519
2013-04-26,0,0.264979166666667,12.565625,18.45279941,12956.2065509259
2013-04-27,0,0.243073170731707,11.4951219512195,20.54153631,18364.7334259259
2013-05-06,0,0.226527272727273,4.69818181818182,15.612117226,18413.7791203704
2013-05-07,0,0.225145833333333,5.58229166666667,16.698260414,13380.4813194444
2013-05-08,0,0.220729166666667,5.578125,20.040239454,18174.5334490741
2013-05-09,0,0.212989583333333,5.70208333333333,21.961877402,17451.7074537037
2013-05-10,0,0.212125,5.934375,20.95928369,16880.3520833333
2013-05-11,0,0.21290625,6.04583333333333,20.207338406,16310.559837963
2013-05-12,0,0.2125,6.69166666666667,19.622492074,11321.21875
2013-05-13,1.6,0.296604166666667,23.3625,14.776622466,12794.6808101852
2013-05-14,0,0.255833333333333,17.45625,11.35109395,12097.7628703704
2013-05-15,0.4,0.25459375,14.875,13.02208347,10202.6100694444
2013-05-16,1.6,0.536583333333333,32.8322916666667,12.938533994,6632.58930555556
2013-05-17,9.2,0.456239583333333,23.6447916666667,13.02208347,9576.18666666667
2013-05-18,0.4,0.302427083333333,18.8927083333333,11.35109395,7055.71608796296
2013-05-19,0.2,0.255958333333333,14.2,14.191776134,14712.8286342593
2013-05-20,0,0.338010416666667,19.5135416666667,12.270138186,5374.28638888889
2013-05-21,5.8,0.33440625,21.859375,13.43983085,14397.371087963
2013-05-23,0,0.249385416666667,15.7666666666667,13.189182422,14109.9551851852
2013-05-24,0,0.24078125,14.6458333333333,14.024677182,14096.488587963
2013-05-25,0,0.240333333333333,14.1479166666667,15.612117226,12311.6074074074
2013-05-26,0,0.2294375,14.0572916666667,13.105632946,4336.75969907407
2013-05-27,0,0.21546875,14.003125,12.437237138,8023.37236111111
2013-05-28,0,0.210322916666667,14.8760416666667,15.027270894,14100.8899074074
2013-05-29,0,0.211427083333333,15.0302083333333,15.445018274,8062.99553240741
2013-05-30,0,0.449864583333333,31.925,13.02208347,1987.34469907407
2013-05-31,5,0.666552083333333,44.0885416666667,14.525974038,9783.65726851852
2013-06-01,110,2.51919791666667,272.191666666667,12.687885566,3271.72793981481
2013-06-02,3,1.01225,141.290625,12.103039234,8885.51699074074
2013-06-03,1,0.569051546391753,110.99175257732,12.019489758,6199.54013888889
2013-06-04,0,0.434520833333333,121.069791666667,12.18658871,5451.39773148148
2013-06-05,0,0.386864583333333,96.1458333333333,11.434643426,6376.13655092593
2013-06-06,0,0.338833333333333,85.5479166666667,13.85757823,9648.92775462963
2013-06-07,6,0.788510416666667,83.7197916666667,11.685291854,9086.95678240741
2013-06-08,2,0.460114583333333,71.1770833333333,12.60433609,13164.1840740741
2013-06-09,0,0.334572916666667,57.5677083333333,11.685291854,11552.7250462963
2013-06-10,0,0.300583333333333,49.63125,13.105632946,11213.5622222222
2013-06-11,0,0.274208333333333,44.4333333333333,12.437237138,3468.5475462963
2013-06-12,0,0.395760416666667,45.528125,10.181401286,2678.52976851852
2013-06-13,11,0.7746875,49.5416666666667,10.014302334,2657.11199074074
2013-06-14,14.2,0.897072916666667,65.859375,10.849797094,5419.22305555556
2013-06-15,0.8,0.605385416666667,82.0354166666667,11.016896046,7160.12069444444
2013-06-16,0,0.491447916666667,85.975,10.849797094,11071.2613657407
2013-06-17,0,0.494072916666667,94.1104166666667,8.928159146,4679.17868055556
2013-06-18,2.8,0.435322916666667,118.396875,11.183994998,9602.73296296296
2013-06-19,0,0.364260416666667,99.3270833333333,10.849797094,13596.2589351852
2013-06-20,0,0.33725,83.396875,12.019489758,13435.820462963
2013-06-21,0,0.300666666666667,67.5302083333333,11.518192902,13838.7085185185
2013-06-22,0,0.286020833333333,65.2041666666667,11.35109395,13448.0148148148
2013-06-23,0,0.268645833333333,63.275,10.849797094,13573.492662037
2013-06-24,0,0.255958333333333,60.5885416666667,9.26235705,6363.82076388889
2013-06-25,0,0.235729166666667,55.7729166666667,12.938533994,12642.8345833333
2013-06-26,0,0.2390625,50.9645833333333,14.525974038,13834.2125925926
2013-06-27,0,0.23921875,49.1427083333333,14.108226658,9185.7725462963
2013-06-28,0,0.2373125,48.3239583333333,13.690479278,12504.9350462963
2013-06-29,0,0.238927083333333,44.5833333333333,10.766247618,7186.76018518519
2013-06-30,0,0.25965625,38.9125,14.860171942,11733.4403703704
2013-07-01,0,0.307697916666667,36.921875,15.277919322,5988.89104166667
2013-07-02,1.2,0.28940625,30.434375,15.027270894,13455.6285185185
2013-07-03,0,0.246520833333333,27.278125,13.523380326,14160.273125
2013-07-04,0,0.228614583333333,23.0333333333333,12.938533994,10003.4154166667
2013-07-05,1.4,0.220354166666667,19.321875,10.849797094,10517.6058796296
2013-07-06,0,0.239375,18.553125,12.353687662,9363.28537037037
2013-07-07,0.8,0.250625,16.2666666666667,10.348500238,9258.14509259259
2013-07-08,2.4,0.29084375,14.84375,11.76884133,12942.1906712963
2013-07-09,0,0.2865625,14.103125,11.016896046,14259.8033796296
2013-07-10,0,0.31240625,13.1947916666667,12.103039234,14757.8994444444
2013-07-11,0,0.288552083333333,18.6614583333333,12.353687662,10631.2579166667
2013-07-12,0,0.222427083333333,13.7677083333333,13.85757823,12352.9857407407
2013-07-13,0,0.370333333333333,19.8770833333333,11.76884133,2856.73025462963
2013-07-14,4.8,0.556885416666667,29.825,12.520786614,3682.81993055556
2013-07-15,0,0.34,26.9495049504951,14.69307299,11162.2262037037
2013-07-16,0,0.27946875,23.2708333333333,13.523380326,9668.21900462963
2013-07-17,0,0.24784375,17.5177083333333,14.108226658,10152.803287037
2013-07-18,0,0.466041666666667,32.8322916666667,17.867953078,10999.7126489197
2013-07-19,17.6,0.731541666666667,58.209375,13.189182422,12390.661712963
2013-07-21,4.8,0.75734375,104.503125,8.343312814,15041.6327546296
2013-07-22,1.2,0.569479166666667,126.666666666667,10.93334657,12598.0094675926
2013-07-23,4.8,0.5885,110.077083333333,10.181401286,7021.62668981482
2013-07-24,0,0.4523125,134.76875,11.183994998,8042.55347222222
